,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
0,flat,pareena laxmi apartments,sector 99a,0.3,5425.0,553.0,Super Built up area 553(51.38 sq.m.)Carpet area: 470 sq.ft. (43.66 sq.m.),2.0,1.0,2,5.0,North,New Property,553.0,,470.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,276.5
1,house,independent,sector 48,5.5,23504.0,2340.0,Plot area 260(217.39 sq.m.),4.0,4.0,2,2.0,North,Relatively New,,2340.0,,0.0,1.0,0.0,0.0,0.0,1.0,22.0,585.0
2,flat,green court,sector 90,0.47,6812.0,690.0,Carpet area: 690 (64.1 sq.m.),2.0,2.0,1,0.0,East,New Property,,,690.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,345.0
4,flat,signature global city 92,sector 92,0.78,11143.0,700.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,3,2.0,,Under Construction,1010.0,,700.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,350.0
5,flat,tulip lemon,sector 69,0.62,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2.0,2.0,1,4.0,North-East,Relatively New,,,482.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,241.0
6,flat,m3m skycity,sector 65,1.8,13699.0,1314.0,Carpet area: 1310 (121.7 sq.m.),2.0,2.0,3,13.0,,New Property,,,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,657.0
7,flat,dlf regency park,sector 28,1.35,11739.0,1150.0,Super Built up area 1150(106.84 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,2.0,2,14.0,East,Old Property,1150.0,1120.0,1050.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,575.0
8,flat,antriksh heights,sector 84,1.05,5012.0,2095.0,Super Built up area 2095(194.63 sq.m.),4.0,4.0,3+,3.0,North,New Property,2095.0,,,1.0,0.0,0.0,0.0,0.0,0.0,66.0,523.75
9,flat,maruti vihar,sector 28,1.0,9091.0,1100.0,Super Built up area 1100(102.19 sq.m.),1.0,1.0,1,1.0,North,Old Property,1100.0,,,1.0,0.0,0.0,1.0,0.0,1.0,80.0,1100.0
10,flat,experion windchants,sector 112,3.65,11428.0,3194.0,Built Up area: 2800 (260.13 sq.m.),3.0,5.0,2,3.0,South-West,Relatively New,,2800.0,,0.0,1.0,0.0,0.0,0.0,0.0,72.0,1064.6666666666667
11,flat,parsvnath exotica,sector 53,5.0,17271.0,2895.0,Super Built up area 2895(268.95 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3+,8.0,North-East,Relatively New,2895.0,2500.0,2200.0,0.0,1.0,0.0,1.0,1.0,1.0,49.0,965.0
12,flat,sare crescent parc,sector 92,0.5,5000.0,1000.0,Super Built up area 1000(92.9 sq.m.),2.0,2.0,3,2.0,,Moderately Old,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,500.0
13,flat,mapsko mount ville,sector 79,1.3,8025.0,1620.0,Super Built up area 1620(150.5 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3.0,3.0,3+,1.0,North-East,Relatively New,1620.0,,863.91,0.0,0.0,0.0,0.0,0.0,1.0,140.0,540.0
14,flat,godrej habitat,sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2.0,2.0,0,4.0,North-East,Undefined,,1056.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,528.0
15,flat,vatika seven elements,sector 89,1.6,8163.0,1960.0,Super Built up area 1960(182.09 sq.m.),3.0,3.0,3,5.0,,New Property,1960.0,,,0.0,0.0,0.0,0.0,0.0,0.0,58.0,653.3333333333334
16,flat,tulip violet,sector 69,1.55,9823.0,1578.0,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,9.0,North-East,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,1.0,165.0,526.0
17,flat,bhagwati sadan,sector 12,1.15,5750.0,2000.0,Super Built up area 2500(232.26 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3.0,4.0,2,2.0,,Old Property,2500.0,2000.0,1750.0,1.0,1.0,0.0,0.0,1.0,1.0,28.0,666.6666666666666
18,flat,smart world gems,sector 89,0.86,7797.0,1103.0,Super Built up area 1103(102.47 sq.m.),2.0,3.0,3,4.0,,Under Construction,1103.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,551.5
19,flat,umang winter hills,sector 77,1.0,7502.0,1333.0,Carpet area: 1340 (124.49 sq.m.),2.0,2.0,2,3.0,,New Property,,,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,666.5
20,flat,ireo skyon,sector 60,2.85,13936.0,2045.0,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),3.0,4.0,3+,5.0,South,Relatively New,2045.0,1640.0,1490.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,681.6666666666666
21,flat,shapoorji pallonji joyville gurugram,sector 102,2.12,11447.0,1852.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),3.0,3.0,3,9.0,South-East,New Property,1852.0,,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,617.3333333333334
22,flat,sare crescent parc,sector 92,0.7,5556.0,1260.0,Built Up area: 140 (117.06 sq.m.),3.0,3.0,2,14.0,,Under Construction,,140.0,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,420.0
23,flat,supertech araville,sector 79,0.71,6063.0,1171.0,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2.0,2.0,3+,17.0,North,New Property,1295.0,,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,585.5
24,flat,ss the coralwood,sector 84,1.1,5820.0,1890.0,Super Built up area 1890(175.59 sq.m.),3.0,3.0,3+,12.0,East,Moderately Old,1890.0,,,0.0,0.0,0.0,0.0,0.0,1.0,104.0,630.0
25,house,independent,sector 49,4.45,15451.0,2880.0,Plot area 320(267.56 sq.m.),6.0,6.0,3,3.0,North,Moderately Old,,2880.0,,1.0,1.0,1.0,1.0,0.0,2.0,152.0,480.0
26,house,independent,sector 25,9.9,29333.0,3375.0,Plot area 375(313.55 sq.m.),5.0,5.0,2,2.0,South-East,Moderately Old,,3375.0,,0.0,0.0,0.0,1.0,0.0,1.0,106.0,675.0
27,flat,puri diplomatic greens,sector 111,3.45,11695.0,2950.0,Super Built up area 2950(274.06 sq.m.),4.0,5.0,3+,9.0,North-East,Relatively New,2950.0,,,0.0,1.0,0.0,0.0,0.0,0.0,68.0,737.5
28,flat,m3m woodshire,sector 107,1.7,6142.0,2768.0,Super Built up area 2768(257.16 sq.m.),4.0,5.0,3+,9.0,South,Relatively New,2768.0,,,0.0,1.0,0.0,0.0,0.0,0.0,79.0,692.0
29,flat,signature global park,sohna road,0.91,6289.0,1447.0,Carpet area: 1439 (133.69 sq.m.),3.0,3.0,3,1.0,West,Relatively New,,,1439.0,0.0,0.0,0.0,1.0,0.0,0.0,165.0,482.3333333333333
30,flat,ss the leaf,sector 85,1.85,7683.0,2408.0,Super Built up area 2408(223.71 sq.m.),3.0,4.0,3,2.0,North,Relatively New,2408.0,,,1.0,1.0,0.0,0.0,0.0,1.0,49.0,802.6666666666666
31,flat,shree vardhman victoria,sector 70,1.8,9231.0,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,3.0,3+,10.0,North-East,New Property,1950.0,,,0.0,0.0,0.0,0.0,1.0,1.0,49.0,650.0
32,flat,umang monsoon breeze,sector 78,0.8,4837.0,1654.0,Super Built up area 1654(153.66 sq.m.)Built Up area: 1472 sq.ft. (136.75 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),3.0,2.0,2,7.0,South,Moderately Old,1654.0,1472.0,1310.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,551.3333333333334
33,flat,m3m merlin,sector 67,3.5,14583.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),3.0,4.0,3,17.0,South-East,Relatively New,2400.0,,2050.0,0.0,1.0,1.0,0.0,0.0,1.0,167.0,800.0
35,flat,vasant appartments,sector 14,1.7,7391.0,2300.0,Carpet area: 2300 (213.68 sq.m.),5.0,5.0,2,2.0,North-West,Old Property,,,2300.0,1.0,0.0,1.0,1.0,0.0,2.0,71.0,460.0
36,flat,orchid petals,sector 49,4.79,11629.0,4119.0,Super Built up area 4115(382.3 sq.m.),5.0,5.0,3+,14.0,South,Relatively New,4115.0,,,1.0,1.0,0.0,1.0,0.0,0.0,49.0,823.8
37,flat,tata primanti,sector 72,4.1,14099.0,2908.0,Super Built up area 2905(269.88 sq.m.),4.0,5.0,3+,39.0,,New Property,2905.0,,,0.0,1.0,0.0,0.0,1.0,0.0,103.0,727.0
39,flat,m3m capital,sector 113,3.25,14143.0,2298.0,Carpet area: 2298 (213.49 sq.m.),4.0,4.0,3+,34.0,,Under Construction,,,2298.0,1.0,1.0,0.0,1.0,0.0,0.0,115.0,574.5
40,flat,godrej nature plus,sector 33,1.25,9025.0,1385.0,Carpet area: 1385 (128.67 sq.m.),2.0,2.0,3+,15.0,,Under Construction,,,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,692.5
41,flat,capital residences 360,sector 70a,1.66,8401.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,3+,8.0,East,New Property,1976.0,1900.0,1500.0,0.0,1.0,0.0,0.0,0.0,0.0,132.0,658.6666666666666
42,flat,godrej summit,sector 104,1.05,5833.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3.0,4.0,3+,7.0,East,Relatively New,,,1800.0,0.0,1.0,0.0,0.0,0.0,1.0,96.0,600.0
43,flat,smart world gems,sector 89,1.1,9973.0,1103.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,3.0,,New Property,,,1103.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,551.5
44,flat,ramsons kshitij,sector 95,0.17,544.0,3125.0,Carpet area: 3212 (298.4 sq.m.),1.0,1.0,1,12.0,North-East,Relatively New,,,3212.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3125.0
45,flat,m3m heights,sector 65,2.01,13499.0,1489.0,Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),2.0,2.0,3,8.0,North-East,New Property,1516.0,,1433.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,744.5
47,flat,bestech park view grand spa,sector 81,2.35,8835.0,2660.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2356 sq.ft. (218.88 sq.m.),3.0,4.0,3+,6.0,North-East,Relatively New,2660.0,,2356.0,0.0,1.0,0.0,0.0,0.0,1.0,101.0,886.6666666666666
48,flat,smart world orchard,sector 61,2.41,14785.0,1630.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3.0,3.0,3,2.0,East,New Property,,1630.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,543.3333333333334
49,flat,m3m skywalk,sector 74,2.25,12500.0,1800.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3.0,3,5.0,North-East,Relatively New,2000.0,1900.0,1800.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,600.0
50,flat,ashiana anmol,sohna road,0.9,7059.0,1275.0,Built Up area: 1275 (118.45 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),2.0,2.0,2,8.0,,Undefined,,1275.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.5
51,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,6.0,West,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,246.5
52,flat,emaar the palm drive,sector 66,3.9,18634.0,2093.0,Built Up area: 2200 (204.39 sq.m.),3.0,4.0,3,2.0,,Relatively New,,2200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.6666666666666
53,flat,dlf regency park,sector 28,2.35,13225.0,1777.0,Super Built up area 1777(165.09 sq.m.),3.0,3.0,2,18.0,North-East,Old Property,1777.0,,,0.0,1.0,0.0,0.0,0.0,0.0,120.0,592.3333333333334
54,flat,sonata group housing gh 24,sector 1,1.65,5893.0,2800.0,Carpet area: 2800 (260.13 sq.m.),4.0,3.0,3,8.0,,New Property,,,2800.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,700.0
55,flat,satya element one,sector 49,0.87,19333.0,450.0,Carpet area: 450 (41.81 sq.m.),1.0,1.0,1,2.0,,Relatively New,,,450.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,450.0
56,house,sector 14 rwa,sector 14,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4.0,4.0,3+,2.0,,Moderately Old,,3150.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.5
57,flat,kiran residency,sector 56,1.5,6649.0,2256.0,Built Up area: 2250 (209.03 sq.m.),3.0,5.0,3+,4.0,South-East,Moderately Old,,2250.0,,1.0,0.0,0.0,1.0,0.0,1.0,134.0,752.0
58,flat,ss the leaf,sector 85,1.78,7392.0,2408.0,Super Built up area 2408(223.71 sq.m.),3.0,4.0,3+,6.0,West,New Property,2408.0,,,0.0,0.0,1.0,0.0,0.0,0.0,113.0,802.6666666666666
59,flat,tulip purple,sector 69,1.92,8000.0,2400.0,Super Built up area 2400(222.97 sq.m.),4.0,5.0,3+,5.0,East,Relatively New,2400.0,,,0.0,1.0,0.0,0.0,0.0,1.0,158.0,600.0
60,flat,smart world orchard,sector 61,2.2,13497.0,1630.0,Carpet area: 1630 (151.43 sq.m.),3.0,3.0,2,3.0,,Under Construction,,,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,543.3333333333334
61,flat,m3m woodshire,sector 107,1.3,8922.0,1457.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1554 sq.ft. (144.37 sq.m.)Carpet area: 1457 sq.ft. (135.36 sq.m.),3.0,3.0,3+,4.0,West,Relatively New,1943.0,1554.0,1457.0,0.0,0.0,0.0,1.0,0.0,1.0,174.0,485.6666666666667
62,flat,deepak minda,sector 1a,1.25,4715.0,2651.0,Carpet area: 2650 (246.19 sq.m.),3.0,3.0,3+,6.0,,Moderately Old,,,2650.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,883.6666666666666
63,flat,signature global park,sohna road,0.87,7190.0,1210.0,Built Up area: 1210 (112.41 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),3.0,2.0,3,4.0,,Undefined,,1210.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,403.3333333333333
64,flat,adani m2k oyster grande,sector 102,2.35,8468.0,2775.0,Super Built up area 2598(241.36 sq.m.),3.0,3.0,3,14.0,East,Relatively New,2598.0,,,1.0,1.0,0.0,0.0,0.0,1.0,165.0,925.0
65,flat,sobha city,sector 108,3.75,14940.0,2510.0,Super Built up area 2343(217.67 sq.m.),3.0,3.0,2,16.0,North-East,New Property,2343.0,,,0.0,1.0,0.0,0.0,0.0,0.0,77.0,836.6666666666666
66,flat,umang winter hills,sector 77,1.35,7781.0,1735.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1199 sq.ft. (111.39 sq.m.),3.0,3.0,3+,7.0,,New Property,1735.0,,1199.0,0.0,0.0,1.0,0.0,0.0,1.0,96.0,578.3333333333334
67,flat,gls arawali homes,sohna road,0.26,4514.0,576.0,Carpet area: 576 (53.51 sq.m.),2.0,2.0,2,4.0,,Relatively New,,,576.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,288.0
68,flat,ats tourmaline,sector 109,1.65,7674.0,2150.0,Super Built up area 2150(199.74 sq.m.),3.0,3.0,3+,16.0,North-East,Relatively New,2150.0,,,0.0,1.0,0.0,0.0,0.0,1.0,49.0,716.6666666666666
69,flat,sbtl caladium,sector 109,1.9,6219.0,3055.0,Super Built up area 3055(283.82 sq.m.),4.0,4.0,3,8.0,North-East,Relatively New,3055.0,,,0.0,1.0,0.0,0.0,0.0,0.0,151.0,763.75
70,flat,orris aster court premier,sector 85,1.73,6758.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),4.0,5.0,3+,8.0,East,Relatively New,2560.0,2017.0,,0.0,1.0,0.0,0.0,0.0,0.0,16.0,640.0
71,flat,tulip violet,sector 69,1.85,9204.0,2010.0,Super Built up area 2010(186.74 sq.m.),4.0,4.0,2,14.0,North-East,Relatively New,2010.0,,,0.0,0.0,0.0,0.0,0.0,1.0,157.0,502.5
72,house,independent,sector 12,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,6.0,2,2.0,North-East,Old Property,,,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.5
73,flat,bestech altura,sector 79,1.72,8000.0,2150.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,4.0,3+,5.0,North-East,Relatively New,2150.0,,1300.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,716.6666666666666
74,flat,corona optus,sector 37c,1.25,7090.0,1763.0,Super Built up area 1763(163.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1234 sq.ft. (114.64 sq.m.),3.0,3.0,3,4.0,North-West,Relatively New,1763.0,1350.0,1234.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,587.6666666666666
75,house,independent,sector 24,2.75,7667.0,3587.0,Built Up area: 3000 (278.71 sq.m.),7.0,7.0,3+,3.0,North-East,Moderately Old,,3000.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,512.4285714285714
